Identifier,Title,ShortTitle,ValueType
CA-blind162905,Number of Registered Blind Persons Aged 16-29 2005,Number of Registered Blind Persons Aged 16-29 2005,count
CA-blind1629pop05,"Registered Blind Persons aged 16-29 per 1,000 population, week ending 31st March 2005","Registered Blind Persons aged 16-29 per 1,000 population, 2005",ratio
CA-blind304905,Number of Registered Blind Persons Aged 30-49 2005,Number of Registered Blind Persons Aged 30-49 2005,count
CA-blind3049pop05,"Registered Blind aged 30-49 per 1,000 population, week ending 31st March 2005","Registered Blind aged 30-49 per 1,000 population, 2005",ratio
CA-blind506405,Number of Registered Blind Persons Aged 50-64 2005,Number of Registered Blind Persons Aged 50-64 2005,count
CA-blind5064pop05,"Registered Blind aged 50-64 per 1,000 population, week ending 31st March 2005","Registered Blind aged 50-64 per 1,000 population, 2005",ratio
CA-blind51505,Number of Registered Blind Persons Aged 5-15 2005,Number of Registered Blind Persons Aged 5-15 2005,count
CA-blind515pop05,"Registered Blind Persons Aged 5-15 per 1,000 population, week ending 31st March 2005","Registered Blind Persons Aged 5-15 per 1,000 population, 2005",ratio
CA-blind657405,Number of Registered Blind Persons Aged 65-74 2005,Number of Registered Blind Persons Aged 65-74 2005,count
CA-blind6574pop05,"Registered Blind aged 65-75 per 1,000 population, week ending 31st March 2005","Registered Blind aged 65-75 per 1,000 population, 2005",ratio
CA-blind75p05,Number of Registered Blind Persons Aged 75+ 2005,Number of Registered Blind Persons Aged 75+ 2005,count
CA-blind75ppop05,"Registered Blind Persons Aged 75+ per 1,000 population 2005","Registered Blind Persons Aged 75+ per 1,000 population 2005",ratio
CA-blindfem05,Number of Females Registered Blind 2005,Number of Females Registered Blind 2005,count
CA-blindmale05,Number of Males Registered Blind 2005,Number of Males Registered Blind 2005,count
CA-blindtot05,Number of Registered Blind Persons 2005,Number of Registered Blind Persons 2005,count
CA-blindtotpop05,"Number of Registered Blind Persons per 1,000 population, week ending 31st March 2005","Number of Registered Blind Persons per 1,000 population, 2005",ratio
CA-blindu505,Number of Registered Blind Persons Aged Under 5 2005,Number of Registered Blind Persons Aged Under 5 2005,count
CA-blindu5pop05,"Registered Blind Persons aged under 5 per 1,000 population, week ending 31st March 2005","Registered Blind Persons aged under 5 per 1,000 population, 2005",ratio
CA-CHEnsLD,Occupancy rate in Care Homes for adults with Learning Disabilities,Occupancy rate in Care Homes for adults with Learning Disabilities,ratio
CA-CHEnsMHP,Occupancy rate in Care Homes for adults with mental health problems,Occupancy rate in Care Homes for adults with mental health problems,ratio
CA-CHEnsOLD,Occupancy rate in Care Homes for Older People,Occupancy rate in Care Homes for Older People,ratio
CA-CHEnsOth,Occupancy rate in Care Homes for Other Client Groups,Occupancy rate in Care Homes for Other Client Groups,ratio
CA-CHEnsPD,Occupancy rate in Care Homes for adults with physical disabilities,Occupancy rate in Care Homes for adults with physical disabilities,ratio
CA-CHEnsuiteLD,Percentage of places in Care Homes for adults with Learning Disabilities which have ensuite facilities,% of places in Care Homes for adults with Learning Disabilities which have ensuite facilities,ratio
CA-CHEnsuiteMHP,Percentage of places in Care Homes for adults with mental health problems which have ensuite facilities,% of places in Care Homes for adults with Mental Health Problems which have ensuite facilities,ratio
CA-CHEnsuiteOLD,Percentage of places in Care Homes for Older People which have ensuite facilities,% places in Care Homes for Older People which have ensuite facilities,ratio
CA-CHEnsuiteOth,Percentage of places in Care Homes for Other Client Groups which have ensuite facilities,% of places in Care Homes for Other Client Groups which have ensuite facilities,ratio
CA-CHEnsuitePD,Percentage of places in Care Homes for adults with physical disabilities which have ensuite facilities,% of places in Care Homes for adults with Physical Disabilities which have ensuite facilities,ratio
CA-CHLD,Number of Care Homes for Adults with Learning Disabilities,Care Homes for Adults with Learning Disabilities,count
CA-CHLDPop,Care home places for adults with learning disabilities per 1000 population aged 16-64,Care Home places for adults with Learning Disabilities/ 1000 population aged 16-64,ratio
CA-CHMHP,Number of Care Homes for Adults with Mental Health Problems,Care Homes for Adults with Mental Health Problems,count
CA-CHMHPPop,Care Home places for adults with mental health problems per 1000 population aged 16-64,Care Home places for adults with Mental Health Problems / 1000 population aged 16-64,ratio
CA-CHOld,Number of Care Homes for Older People,Care Homes for Older People,count
CA-CHOldPop,"Care home places for Older People per 1,000 population aged 65+",Care home places for Older People/1000 pop'n aged 65+,ratio
CA-CHOTH,Number of Care Homes for Other Client Groups,Care Homes for Other Client Groups,count
CA-CHOTHPop,Care Home Places for adults in other client groups per 1000 population aged 16-64,Care Home places for adults in other client groups / 1000 population aged 16-64,ratio
CA-CHPD,Number of Care Homes for Adults with Physical Disabilities,Care Homes for Adults with Physical Disabilities,count
CA-CHPDPop,Care home places for Adults with physical disabilities per 1000 population aged 16-64,Care Home places for Adults with Physical Disabilities / 1000 pop'n aged 16-64,ratio
CA-CHPlacesLD,Places in Care Homes for Adults with Learning Disabilities,Places in Care Homes for Adults with Learning Disabilities,count
CA-CHPlacesMHP,Places in Care Homes for Adults with Mental Health Problems,Places in Care Homes for Adults with Mental Health Problems,count
CA-CHPlacesOld,Places in Care Homes for Older People,Places in Care Homes for Older People,count
CA-CHPlacesOTH,Places in Care Homes for Other Client Groups,Places in Care Homes for Other Client Groups,count
CA-CHPlacesPD,Places in Care Homes for Adults with Physical Disabilities,Places in Care Homes for Adults with Physical Disabilities,count
CA-CHSingleLD,Percentage of places in Care Homes for adults with Learning Disabilities in single rooms,% of places in Care Homes for adults with Learning Disabilities in single rooms,ratio
CA-CHSingleMHP,Percentage of places in Care Homes for adults with mental health problemsin single rooms,% of places in Care Homes for adults with Mental Health Problems in single rooms,ratio
CA-CHSingleOLD,Percentage of places in Care Homes for Older People in single rooms,% places in Care Homes for Older People in single rooms,ratio
CA-CHSingleOth,Percentage of places in Care Homes for Other Client Groups in single rooms,% of places in Care Homes for Other Client Groups in single rooms,ratio
CA-CHSinglePD,Percentage of places in Care Homes for adults with physical disabilities in single rooms,% of places in Care Homes for adults with Physical Disabilities in single rooms,ratio
CA-CJAP1820,Total Number of Orders for Clients Aged 18 -20,Total Orders for Clients Aged 18 -20,count
CA-CJAP2125,Total Number of Orders for Clients Aged 21 - 25,Total Orders for Clients Aged 21 - 25,count
CA-CJAP2630,Total Number of Orders for Clients Aged 26 - 30,Total Orders for Clients Aged 26 - 30,count
CA-CJAP3140,Total Number of Orders for Clients Aged 31 - 40,Total Orders for Clients Aged 31 - 40,count
CA-CJAPGT40,Total Number of Orders for Clients Aged Over 40,Total Orders for Clients Aged Over 40,count
CA-CJAPLT18,Total Number of Orders for Clients Aged Under 18,Total Orders for Clients Aged Under 18,count
CA-CJBOCCO,Number of Community Service Order Breach Applications,Community Service Order Breach Applications,count
CA-CJBODTTO,Number of Drug Treatment and Testing Order Breach Applications,Drug Treatment and Testing Order Breach Applications,count
CA-CJBOPROBN,Number of Probation Order Breach Applications,Probation Order Breach Applications,count
CA-CJBOSAO,Number of Supervised Attendance Order Breach Applications,Supervised Attendance Order Breach Applications,count
CA-CJBOTOT,Total Number of Breach Applications,Total Breach Applications,count
CA-CJEGASIAN,Total Number of Orders for Clients where Ethnic Group is Asian,Total Orders for Clients where Ethnic Group is Asian,count
CA-CJEGBLACK,Total Number of Orders for Clients where Ethnic Group is Black,Total Orders for Clients where Ethnic Group is Black,count
CA-CJEGINPR,Total number of Orders for clients where Ethnic Group information is not provided,Total Orders for clients where Ethnic Group is not provided,count
CA-CJEGMIXED,Total Number of Orders for Clients where Ethnic Group is Mixed,Total Orders for Clients where Ethnic Group is Mixed,count
CA-CJEGOTHER,Total Number of Orders for Clients where Ethnic Group is Other,Total Orders for Clients where Ethnic Group is Other,count
CA-CJEGUNKWN,Total Number of Orders for Clients where Ethnic Group is Unknown,Total Orders for Clients where Ethnic Group is Unknown,count
CA-CJEGWHITE,Total Number of Orders for Clients where Ethnic Group is White,Total Orders for Clients where Ethnic Group is White,count
CA-CJESEMP,Total Number of Orders for Clients who are Employed/Self Employed,Total Orders for Clients who are Employed/Self Employed,count
CA-CJESFEM,Total Number of Females Receiving Orders,Total Females Receiving Orders,count
CA-CJESFTED,Total Number of Orders for Clients in Full Time Education,Total Orders for Clients in Full Time Education,count
CA-CJESGOV,Total Number of Orders for Clients who are on a Government Sponsored Training Scheme,Total Orders for Clients who are on Government Sponsored Training Scheme,count
CA-CJESMALE,Total Number of Males Receiving Orders,Total Males Receiving Orders,count
CA-CJESNSKEMP,Total Number of Orders for Clients who are Not Seeking Employment,Total Orders for Clients who are Not Seeking Employment,count
CA-CJESOTHER,Total Number of Orders for Clients who have Other Employment Status,Total Orders for Clients who have Other Employment Status,count
CA-CJESUNEMP,Total Number of Orders for Clients who are Unemployed,Total Orders for Clients who are Unemployed,count
CA-CJO12M,Total Number of Probation Orders where length is 12 months,Total Probation Orders where length is 12 months,count
CA-CJO1317M,Total Number of Probation Orders where length is 13 - 17 months,Total Probation Orders where length is 13 - 17 months,count
CA-CJO18M,Total Number of Probation Orders where length is 18 months,Total Probation Orders where length is 18 months,count
CA-CJO1923M,Total Number of Probation Orders where length is 19 - 23 months,Total Probation Orders where length is 19 - 23 months,count
CA-CJO24M,Total Number of Probation Orders where length is 24 months,Total Probation Orders where length is 24 months,count
CA-CJO2535M,Total Number of Probation Orders where length is 25 - 35 months,Total Probation Orders where length is 25 - 35 months,count
CA-CJO36M,Total Number of Probation Orders where length is 36 months,Total Probation Orders where length is 36 months,count
CA-CJO6M,Total Number of Probation Orders where length is 6 months,Total Probation Orders where length is 6 months,count
CA-CJO711M,Total Number of Probation Orders where length is 7 - 11 months,Total Probation Orders where length is 7 - 11 months,count
CA-CJOCSO,Number of Community Service Orders,Community Service Orders,count
CA-CJODTTO,Number of Drug Treatment and Testing Orders,Drug Treatment and Testing Orders,count
CA-CJOPROBN,Number of Probation Orders,Probation Orders,count
CA-CJOSAO,Number of Supervised Attendance Orders,Supervised Attendance Orders,count
CA-CJOTOTAL,Total Number of Orders,Total Orders,count
CA-CJOTOTAL229,Total Number of Orders (for Ethnicity and Eemployment Status Figures),Total Orders (for Ethnicity and Employment Status Figures),count
CA-CJSAO1120H,Total Number of Supervised Attendance Orders where length is 11 - 20 hours,Total Supervised Attendance Orders where length is 11 - 20 hours,count
CA-CJSAO2130H,Total Number of Supervised Attendance Orders where length is 21 - 30 hours,Total Supervised Attendance Orders where length is 21 - 30 hours,count
CA-CJSAO3140H,Total Number of Supervised Attendance Orders where length is 31 - 40 hours,Total Supervised Attendance Orders where length is 31 - 40 hours,count
CA-CJSAO4150H,Total Number of Supervised Attendance Orders where length is 41 -50 hours,Total Supervised Attendance Orders where length is 41 -50 hours,count
CA-CJSAO5160H,Total Number of Supervised Attendance Orders where length is 51 -60 hours,Total Supervised Attendance Orders where length is 51 -60 hours,count
CA-CJSAO6170H,Total Number of Supervised Attendance Orders where length is 61 - 70 hours,Total Supervised Attendance Orders where length is 61 - 70 hours,count
CA-CJSAO7180H,Total Number of Supervised Attendance Orders where length is 71 - 80 hours,Total Supervised Attendance Orders where length is 71 - 80 hours,count
CA-CJSAO8190H,Total Number of Supervised Attendance Orders where length is 81 - 90 hours,Total Supervised Attendance Orders where length is 81 - 90 hours,count
CA-CJSAO91100H,Total Number of Supervised Attendance Orders where length is 91 - 100 hours,Total Supervised Attendance Orders where length is 91 - 100 hours,count
CA-CJSAOLT11H,Total Number of Supervised Attendance Orders where length is 10 hours or less,Total Supervised Attendance Orders where length is 10 hours or less,count
CA-CJSERA1820,Total Number of Social Enquiry Reports for Clients Aged 18 -20,Total Social Enquiry Reports for Clients Aged 18 -20,count
CA-CJSERA2125,Total Number of Social Enquiry Reports for Clients Aged 21 - 25,Total Social Enquiry Reports for Clients Aged 21 - 25,count
CA-CJSERA2630,Total Number of Social Enquiry Reports for Clients Aged 26 - 30,Total Social Enquiry Reports for Clients Aged 26 - 30,count
CA-CJSERA3140,Total Number of Social Enquiry Reports for Clients Aged 31 - 40,Total Social Enquiry Reports for Clients Aged 31 - 40,count
CA-CJSERAGT40,Total Number of Social Enquiry Reports for Clients Aged Over 40,Total Social Enquiry Reports for Cclients Aged Over 40,count
CA-CJSERALT18,Total Number of Social Enquiry Reports for Clients Aged Under 18,Total Social Enquiry Reports for Clients Aged Under 18,count
CA-CJSEREASIAN,Total Number of Social Enquiry Reports for Clients where Ethnic Group is Asian,Total Social Enquiry Reports for Clients where Ethnic Group is Asian,count
CA-CJSEREBLACK,Total Number of Social Enquiry Reports for Clients where Ethnic Group is Black,Total Social Enquiry Reports for Clients where Ethnic Group is Black,count
CA-CJSEREINPR,Number of SERs for which ethnic group information was not provided,Number of SERs for which ethnic group information was not provided,count
CA-CJSEREMIXED,Total Number of Social Enquiry Reports for Clients where Ethnic Group is Mixed,Total Social Enquiry Reports for Clients where Ethnic Group is Mixed,count
CA-CJSEREMP,Total Number of Social Enquiry Reports for Clients who are Employed/Self Employed,Total Social Enquiry Reports for Clients who are Employed/Self Employed,count
CA-CJSEREOTHER,Total Number of Social Enquiry Reports for Clients where Ethnic Group is Other,Total Social Enquiry Reports for Clients where Ethnic Group is Other,count
CA-CJSEREUNKWN,Total Number of Social Enquiry Reports for Clients where Ethnic Group is Unknown,Total Social Enquiry Reports for Clients where Ethnic Group is Unknown,count
CA-CJSEREWHITE,Total Number of Social Enquiry Reports for Clients where Ethnic Group is White,Total Social Enquiry Reports for Clients where Ethnic Group is White,count
CA-CJSERFEM,Total Number of Females Receiving Social Enquiry Reports,Total Females Receiving Social Enquiry Reports,count
